city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality,Cost_of_Living_Index,highest_cost_of_living_index,lowest_cost_of_living_index
Seoul,"South Korea",7.68,53.78,6.15,3.07,4.99,3.93,1.48,0.79,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,15.36,2.12,2.36,3.46,1,42.25,2.92,0.92,9.22,1.43,29192.75,27840.35,182.13,0.16,22.48,55.88,18.33,9.6,404.15,17902.55,58.26,46.36,70.81,110.36,742.54,557.52,2669.12,1731.08,22067.7,10971.9,2689.62,3.47,1,860.21,NULL,NULL
Shanghai,China,5.69,39.86,5.69,1.14,4.27,3.98,0.53,0.33,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,14.24,0.94,1.97,3.56,0.57,28.47,2.14,0.43,8.54,1.2,19929.68,20750.95,66,0.03,17.07,63.49,14.95,8.54,1382.62,26379.45,70.49,34.92,88.21,123.51,1091.93,569.88,2952.7,1561.59,17746.11,9416.35,1419.87,5.03,1,629.515,NULL,NULL
Guangzhou,China,4.13,28.47,4.98,0.85,1.71,3.54,0.44,0.33,1.91,1.63,1.03,1.71,9,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1,0.49,0.51,11.39,0.95,2.26,3.7,0.36,28.47,1.71,0.37,6.26,1.19,21353.23,21381.7,59.65,0.02,16.66,34.17,18.98,8.54,555.18,24556.21,63.43,33.83,66.73,43.89,533.28,317.45,1242.24,688.05,12892.82,5427.45,1211.68,5.19,1,437.362,NULL,NULL
Mumbai,India,3.68,18.42,3.68,2.46,4.3,2.48,0.48,0.19,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,9.83,2.27,3.61,4.3,0.25,4.91,0.31,0.31,1.23,1.35,12281.76,22790.48,43.57,0.01,9.33,25.37,11.39,4.3,107.07,3682.67,32.77,27.75,49.87,41.17,522.4,294.05,1411.12,699.8,6092.45,2777.51,640.81,7.96,1,291.785,NULL,NULL
Delhi,India,4.91,22.11,4.3,1.84,3.68,1.77,0.49,0.19,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,9.83,1.54,2.49,4.3,0.49,11.67,0.61,0.22,1.23,1.24,12281.76,22940.65,58.07,0.01,7.95,21.2,8.6,4.91,74,1964.24,32.12,33.44,49.99,36.5,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,8.06,1,205.425,NULL,NULL
Dhaka,Bangladesh,1.95,11.71,4.88,5.85,5.12,1.95,0.29,0.16,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,5.36,2.4,6.3,3.12,0.41,18.53,0.98,0.39,2.93,1.1,39017.69,29006.57,37.06,0.01,21.9,17.24,14.17,4.88,65.97,1525.07,21.51,24.91,50.87,41.53,142.09,87.79,347.57,208.5,1119.98,571.72,280.73,9.26,1,106.295,NULL,86.0687
Osaka,Japan,7.45,48.39,5.36,3.35,3.72,3.28,1.09,0.81,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,7.45,2.54,2.48,4.28,1.8,88.81,4.95,2.98,29.53,1.24,22707.81,15765.18,128.77,0.21,32.15,65.2,33.43,13.84,482.8,10739.89,45.81,26.61,66.79,132.61,674.96,376.14,1737.21,993.17,8043.38,4825.58,2322.46,1.49,1,751.667,NULL,NULL
Jakarta,Indonesia,2.59,22.69,3.57,2.06,3.24,2.23,0.61,0.27,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,22.69,2.17,3.24,2.27,0.23,11.34,0.44,0.29,2.92,0.81,25992.44,28106.01,83.88,0.13,31.57,30.89,11.78,3.24,138.64,9667.3,39.51,25.16,72.38,79.85,505.59,277.43,1172.14,615.04,2632.8,1241.09,509.12,9.05,1,254.383,NULL,NULL
Shenzhen,China,4.27,28.47,4.98,1.14,3.99,4.2,0.47,0.34,2.23,2.4,1,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,14.16,0.88,1.49,3.56,0.57,35.59,1.42,0.37,6.83,1.19,21936.88,20317.59,67.63,0.04,18.21,51.65,14.39,7.12,660.93,23344.61,66.16,33.9,81.84,106.77,738.75,435.07,1682.3,886.16,17898.73,8091.57,1572.22,4.99,1,578.953,NULL,NULL
Kinshasa,Congo,15.11,42.63,10.08,1.74,2.5,4.35,2.78,0.84,2,1.33,5.17,4.15,9.5,5,20,10,3.25,5.25,6.33,3.6,2.83,1.67,2,10,1.32,3.5,5,0.5,30,1,1.53,5,1.22,44341.6,24000,553.99,0.32,300,97.5,20,10,1200,14300,35,35,127.5,93.33,2000,725,4500,1160,6170.63,933.33,400,19.33,0,603.903,NULL,NULL
Bangkok,Thailand,2.74,28.8,5.76,2.3,4.32,2.13,0.51,0.27,1.65,1.91,1.45,2,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,20.16,1.65,2.84,4.32,1.27,37.44,1.01,1.18,5.18,1.21,57600.86,26234.16,79.55,0.04,15.46,57.33,10.37,7.63,512.24,14520.66,56.55,38.02,83.6,96.88,594.58,285.95,2044.33,961.21,5534.11,2578.84,629.84,5.64,1,307.108,NULL,NULL
Karachi,Pakistan,2.24,11.18,3.8,2.12,2.68,1.41,0.29,0.19,0.8,0.46,1.09,1.14,4.88,2.83,4.02,1.09,0.56,0.83,0.74,0.31,0.46,0.32,0.35,1.79,1.41,1.85,1.34,0.22,11.18,0.67,0.16,1.79,1.05,13857.85,18980.66,66.56,0.01,20.72,16.52,6.05,4.47,51.71,1183.26,14.55,24.19,32.04,27.61,113.5,76.65,268.71,170.09,760.64,412.03,166.86,14.9,1,70.705,NULL,59.6673
Cairo,Egypt,4.07,20.35,4.07,1.63,2.73,1.75,0.25,0.15,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,8.14,1.29,1.99,2.03,0.28,13.23,0.41,0.14,1.02,0.4,21061.16,21147.47,26.53,0.01,16.37,23.44,8.49,4.48,146.82,2909.45,39.37,37.51,89.61,48.65,196.83,117.45,400.03,233.92,549.42,380.62,200.4,10.87,1,100.395,NULL,70.5273
"Sao Paulo",Brazil,7.66,38.32,6.71,2.3,3.45,1.57,1.12,0.79,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,7.66,1.35,2.86,2.3,0.84,45.98,1.05,0.77,9.58,1.26,21458.41,27234.36,69.27,0.29,21.55,25.04,32.46,8.62,414.71,9273.1,58.83,49.57,83.76,65.93,567.7,341.37,990.82,687.44,2542.37,1666.86,445.67,9.4,1,255.467,NULL,NULL
"Mexico City",Mexico,7.74,39.97,6.7,2.58,4.13,2.71,1.07,0.76,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.3,1.45,1.5,1.57,1.44,0.99,0.83,11.35,1.42,2.55,3.61,0.31,15.69,1.03,0.52,6.19,1.2,19596.21,19925.13,48.85,0.1,26.67,45.15,20.37,4.64,329.13,7425.93,50.84,34.61,84.28,86.26,766.53,481.56,1480.77,850.84,2769.15,1695.8,718.92,10.57,1,373.375,NULL,NULL
Lagos,Nigeria,3.71,45.03,6.75,1.13,1.8,3.4,0.4,0.26,3.59,1.37,2.84,2.15,4.88,5.5,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,6.75,0.99,1.54,1.13,0.9,33.77,1.29,2.25,4.5,0.39,18911.68,33770.85,28.27,0.04,52.83,40.01,9.63,7.88,129.58,2916.01,20.05,26.88,68.4,68.08,1406.6,714.57,4929.84,2251.39,746.59,301.12,214.64,17.5,1,406.462,NULL,NULL
Kolkata,India,2,14.74,3.68,2.21,3.68,1.64,0.36,0.15,0.63,0.37,0.69,0.92,5.04,3.05,6.38,1.88,0.65,1.19,0.64,0.4,0.44,0.37,0.34,9.52,1.77,2.96,4.05,0.2,3.93,0.61,0.31,1.23,1.33,12281.76,22528.1,31.81,0.01,7.47,18.61,8,3.56,49.59,1624.54,28.94,26.31,49.43,34.08,148.65,84.89,388.92,248.24,1038.75,587.51,532.21,8.25,1,170.765,NULL,NULL
Beijing,China,4.27,31.32,5.69,1.42,4.13,4.62,0.52,0.42,2.01,2.17,1.25,1.94,13.04,3.95,12.8,2.03,1.89,1.98,1.48,0.88,1,0.88,0.64,12.81,1.03,2.44,4.27,0.71,42.71,1.99,0.43,11.39,1.2,24200.32,22446.36,55.64,0.04,20.83,57.48,30.37,8.54,980.31,27318.57,67.19,43.68,86.62,122.09,1199.13,673.25,2784.82,1453.74,17761.99,9644.53,1562.35,4.94,1,691.615,NULL,NULL
Moscow,Russia,12.8,64,6.4,4,4,3.34,1.28,0.72,1.41,0.83,1.87,1.84,13.14,5.61,11.19,1.68,1.31,1.81,2.86,0.8,0.73,1.47,0.85,11.2,1.16,2.44,3.2,0.82,38.4,2.56,0.24,8.61,0.85,35200.01,37946.86,145.92,0.04,8.3,52.91,33.44,8,632,11533.84,104.54,61.4,137.04,150.35,1141.4,664.37,2194.87,1164.92,7750.96,4203.06,1452.41,10.31,1,651.857,NULL,NULL
Tokyo,Japan,7.45,44.67,5.21,4.47,4.47,3.42,1.26,0.85,1.44,1.59,3.41,1.93,15.22,8.3,23.42,7.23,3.18,5.95,5.33,4.45,4.18,1.49,0.99,8.93,2.15,2.82,4.47,1.49,74.45,3.5,3.13,25.22,1.24,20102,17439.88,171.22,0.45,32.85,73.85,26.59,13.4,553.74,16096.49,46.26,37.63,64.81,105.9,1140.47,662.76,2526.51,1371.4,9144.73,5480.97,2868.8,1.1,1,1004.55,NULL,NULL
Manila,Philippines,3.59,28.71,3.59,1.26,1.93,2.97,0.99,0.51,1.67,1.24,0.9,1.77,5.33,4.21,6.96,2.7,1.4,3.04,1.45,1.74,1.75,1.35,0.65,8.97,1.18,1.62,2.69,0.54,12.04,0.72,0.24,2.15,1.4,23324.66,18370.66,98.89,0.15,37.97,50.24,5.94,5.74,258.66,11021.54,39.02,28.23,72.61,65.07,541.63,278.1,1704.49,712.56,3578.46,2634.92,429.13,7.8,1,243.723,NULL,NULL
"New York","United States",25,100,10,7.2,10,5.38,2.72,2.32,1.26,4.11,8.03,3.93,16.85,17.88,20.57,5.62,2.59,4.98,6.22,4.04,3.73,2.68,2.51,17.99,3.15,3.95,15,2.75,129,4.38,1.86,30,1.29,25000,23754.86,180.61,0.1,69.77,104.82,38.85,18,2444.17,40384.62,62.13,57.42,95.29,145.62,3851.51,2347.1,7146.84,4279.34,14784.44,9531.27,5944.31,5.4,1,2455.89,1577.13,NULL
Istanbul,Turkey,5.37,24.15,4.29,2.68,3.22,1.98,0.9,0.32,1.03,0.5,1.67,1.81,6.32,4.18,9.08,0.86,1.72,1.09,0.89,0.61,0.53,0.64,0.31,8.05,1.68,2.27,1.72,0.43,32.31,0.54,0.38,3.76,1.31,40249.22,33094.13,68.88,0.07,8.9,26.37,12.69,3.76,243.06,5152.51,47.96,31.58,78.86,62.09,554.82,316.01,1040.98,649.93,2374.69,1191.15,383.04,23.8,1,235.915,NULL,NULL
"Buenos Aires",Argentina,6.12,25,5,1.92,2.42,1.78,1.04,0.81,0.77,1.29,0.95,1.37,6.54,4,6.42,1.36,1.2,0.73,1.41,0.64,0.73,1.06,0.73,3.73,1.22,1.95,2,0.15,10,1,0.52,4.78,0.97,26700,23229.18,48.19,0.24,21.87,23.63,8.57,5,227.64,4891.47,68.63,44.81,99.89,89.76,311.84,225.84,627.35,444.68,2518.29,2074.45,403.51,45,1,180.405,NULL,NULL
Bangalore,India,3.07,18.42,4.3,2.21,3.68,2.09,0.46,0.18,0.58,0.57,0.76,0.98,6.54,3.83,6.61,2.38,0.72,1.16,0.46,0.44,0.44,0.57,0.36,11.05,1.91,3.5,4.3,0.61,18.42,1.23,0.37,1.23,1.29,14738.11,24236.01,24.93,0.01,10.75,20.33,5.13,4.91,111.85,2681.52,30.92,32.34,46.69,37.25,240.59,145.91,639.32,355.79,1638.59,810.46,969.96,7.97,1,303.557,NULL,NULL
Lahore,Pakistan,1.56,17.88,3.58,3.13,4.02,1.81,0.23,0.17,0.69,0.67,0.96,1.05,5.72,2.83,3.88,1.2,0.68,0.71,0.67,0.33,0.39,0.27,0.31,0.45,0.83,1.05,1.12,0.18,6.71,0.67,0.22,2.12,1.08,13410.82,18871.5,92.43,0.01,23.83,16.09,8.26,4.47,56.01,1207.32,14.48,25.47,54.62,37.77,112.52,70.74,244.49,187.01,465.59,306.08,164.01,12.9,1,69.5675,NULL,59.6673
Chennai,India,2.18,12.28,4.91,2.21,4.3,1.63,0.44,0.18,0.61,0.5,0.68,0.85,6.15,3.19,5.8,2.5,0.78,1.35,0.51,0.5,0.45,0.63,0.37,5.53,1.81,3.12,4.42,0.31,12.28,1.23,0.25,1.23,1.32,12281.76,24164.54,33.92,0.01,9.48,17.77,6.3,2.46,71.79,1281.91,29.1,28.48,46.45,34.67,180.73,107.59,439.84,259.71,1948.95,690.3,552.68,7.78,1,183.975,NULL,NULL
Chengdu,China,2.85,24.77,5.05,1.14,2.85,3.75,0.42,0.29,1.97,1.46,1.17,2.15,14.8,6.16,13.33,2.01,1.43,1.39,1.16,0.77,0.83,0.48,0.62,7.83,1.06,1.88,2.99,0.43,26.61,1.28,0.28,4.27,1.19,21182.4,20208.69,36.49,0.03,10.57,40.16,14.24,5.69,367.75,18980.64,83.57,32.52,92.12,90.75,438.93,256.24,811.42,448.42,3855.3,2201.05,802.58,5.08,1,311.198,NULL,NULL
London,"United Kingdom",18.45,79.95,8.61,7.26,6.15,4.14,2.12,1.69,1.35,1.25,2.15,2.93,7.92,8.19,12.3,2.59,1.46,2.25,2.87,1.41,1.43,1.04,1.38,11.07,2.38,2.87,15.99,3.2,184.5,4.92,2.09,35.42,2.16,29028,29001.52,299.36,0.13,35.92,52.08,14.49,14.76,1871.22,22061.73,89.1,40.65,91.32,104.69,2417.07,1750.5,4000.78,2832.24,14704.63,8657.28,4033.84,2.97,1,1618.14,NULL,NULL
Wuhan,China,3.56,27.05,5.69,1.54,2.14,2.86,0.43,0.23,1.72,1.78,0.9,1.73,12.81,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.79,1.76,2.85,0.43,42.71,1.42,0.28,3.42,1.19,17993.65,15787.15,40.46,0.02,14.71,43.66,6.17,5.55,355.89,23251.29,64.06,46.27,105.53,76.81,350.19,177.94,896.84,373.68,3559.63,2306.15,963.86,4.99,1,329.51,NULL,NULL
Hyderabad,India,2.46,12.28,5.53,1.84,3.68,2.01,0.45,0.18,0.74,0.56,0.68,0.89,5.79,3.56,6.79,2.66,0.71,1.31,0.54,0.45,0.41,0.72,0.37,11.67,1.9,3.14,4.05,0.55,12.28,0.98,0.31,1.23,1.38,12281.76,23774.8,28.69,0.01,8.87,23.21,7.59,3.68,72.78,2232.39,27.68,30.55,49.08,39.26,173.77,110.68,432.93,276.74,1132.49,629.51,531.45,7.87,1,177.057,NULL,NULL
Tehran,Iran,4,30,4.98,0.8,1.94,1.51,0.93,0.77,0.81,0.53,3.72,1.3,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.6,0.5,0.51,0.3,1,0.5,1.27,2.88,0.36,16.41,0.5,0.36,3,0.72,65000,54950.14,21.1,0.01,13.96,20.43,16.2,1.5,132.6,1605.63,53.37,46.53,138.76,91.91,541.33,428.83,1337.72,921.78,2183.1,1280.31,294.97,20,1,210.165,NULL,NULL
Paris,France,15.81,63.22,10.54,7.38,6.32,3.89,2.88,2.44,1.24,2.11,2.29,3.67,17.51,13.01,23.13,3.18,2.13,2.85,3.88,2.3,2.26,1.53,0.85,8.43,2.11,3.03,11.06,2,79.03,5.27,1.92,47.95,2.13,23182.39,28681.63,199.44,0.18,31.36,37.7,14.16,13.17,772.75,17311.53,103.86,42.52,93.61,136.1,1365.19,1004.57,3027.12,2065.93,13043.59,9239.64,2752.34,1.69,1,1033.83,NULL,NULL
Nagoya,Japan,7.45,37.23,5.21,2.98,3.72,2.65,1.03,0.78,1.51,1.37,3.72,1.81,15.49,9.06,18.61,6.2,2.29,3.96,6.33,4.09,2.26,1.41,0.81,7.45,1.92,1.69,3.98,1.79,74.45,3.35,3.35,22.34,1.23,18612.96,22335.55,206.04,0.24,31.57,67.01,23.58,13.4,657.66,14890.37,36.61,26.8,52.12,96.79,844.28,440.51,3190.79,3350.33,3494.13,2009.97,2444.12,1,1,824.41,NULL,NULL
"Ho Chi Minh City",Vietnam,2.04,24.48,4.08,1.02,2.04,2.02,0.55,0.3,1.49,1.17,0.93,1.52,10.24,3.42,11.65,3.26,1.05,1.37,1.2,1.31,1.44,1.02,0.51,8.16,0.87,1.47,1.22,0.29,5.51,0.51,0.65,2.04,1.11,40795.51,36393.31,74.15,0.06,11.48,26.72,11.68,3.67,263.32,13853.48,45.63,35.57,88.58,96.65,493.77,292.91,1207.45,611.02,4404.92,1947.26,487.51,9.11,1,245.902,NULL,NULL
"Los Angeles","United States",20,88.59,10,8,8,4.94,2.7,2.3,1.14,3.8,5.64,3.84,12.63,11.58,17.89,4.15,1.78,3.46,4.23,2.76,2.22,1.79,2,12,2.56,2.95,11.25,1.75,99.5,4,1.71,29.19,1.59,25000,22886.54,140.05,0.12,67.95,45.73,11.86,15.99,1361.25,22929.57,59.39,40.75,93.93,133,2527.29,1973,4630.53,3599.83,9219.44,6135.43,5456.15,5.18,1,2001.3,1577.13,NULL
Lima,Peru,3.92,22.19,5.22,2.09,3.92,2.66,0.86,0.57,1.22,1.83,1.11,1.81,6.89,4.99,8.2,1.54,1.02,0.93,0.98,0.74,0.89,0.72,0.72,7.83,1.6,2.33,5.22,0.52,15.66,2.61,1.44,6.27,1.31,18274.38,21697.31,71.32,0.18,30.91,37.19,12.4,5.48,213.5,5851.01,43.81,28.35,71.57,68.37,511.24,349.69,954.12,701.14,1962.17,1483.1,489.76,8.29,1,251.36,NULL,NULL
"Rio de Janeiro",Brazil,6.71,28.74,6.71,1.92,2.87,1.57,1.12,0.77,1.07,1.53,1.19,1.9,8.28,3.72,8.41,1.86,1.22,1.05,1.69,1.09,1,0.58,0.55,8.62,1.13,2.36,1.92,0.86,48.09,1.15,0.79,11.5,1.38,17243.36,26731.2,93.12,0.33,20.1,27.66,37.68,6.71,472.6,7009.11,40.99,42.03,64.31,58.49,396.55,254.46,795.11,573.98,2116.26,1293.93,363.15,9.68,1,191.818,NULL,NULL
Tianjin,China,4.27,28.47,6.41,1.42,2.14,3.54,0.46,0.28,1.91,1.55,0.95,1.25,14.59,2.96,10.56,1.25,1.37,1.36,1.12,0.74,0.74,0.71,0.67,14.24,1.07,1.42,2.92,0.43,15.78,1.64,0.31,6.26,1.2,19217.9,19217.9,76.64,0.04,11.08,42.71,14.24,7.12,565.86,9359.83,54.89,42.66,78.97,74.69,391.48,275.22,1085.46,569.42,5576.09,3558.87,875.36,5.2,1,317.885,NULL,NULL
Zhengzhou,China,2.14,17.08,4.27,0.78,2.28,3.27,0.44,0.28,1.77,1.71,0.73,1.48,17.79,2.33,10.92,1,0.95,0.85,0.89,0.59,0.49,0.33,0.57,12.1,0.95,1.74,2.85,0.14,6.26,1.14,0.34,2.56,1.16,21282.05,22231.08,52.99,0.02,9.68,80.67,5.22,6.41,284.71,4982.42,43.18,37.96,113.88,110.32,266.92,163.71,519.6,330.97,2746.29,1783.41,586.03,5.47,1,213.807,NULL,NULL
Luanda,Angola,7.84,64.25,10.51,2.2,1.5,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,10.02,0.78,0.79,2,0.59,31.78,1.67,1.67,8,0.33,22541.71,23628.3,30.78,0.1,192.23,40.05,28.35,4.84,929.37,2705.62,95.95,150.31,267.21,208.25,220.39,80.85,6880.05,346.62,5421.61,3448.79,1428.77,25,0,414.397,NULL,NULL
Chicago,"United States",20,80,10,6,6.5,4.83,2.29,1.99,0.84,3.18,3.73,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.84,2.08,1.66,2.06,13.99,2.75,3.69,15,2.5,80,3.5,2.11,30,1.39,23197.5,24878.12,163.78,0.33,62.56,58.26,8.12,15,1661.69,19997.72,56.05,37.81,86.95,95.95,1969.12,1452.61,3972.22,2450,3498,2389.59,4819.49,5.59,1,1702.78,1577.13,NULL
Hanoi,Vietnam,2.04,19.9,5.3,0.82,1.63,1.91,0.43,0.27,1.36,0.92,1,1.49,10.59,3.48,10.5,2.74,1.09,1.52,1.18,0.99,1.19,0.8,0.6,6.12,0.82,1.56,1.43,0.29,8.16,0.65,0.49,3.26,1.11,40795.51,32899.31,74.36,0.09,9.66,25.41,6.94,4.08,241.37,12070.22,34.45,29.14,72.53,59.97,329.82,206.7,865.47,458.27,2255.75,1285.06,510.15,9.86,1,210.575,NULL,NULL
Chongqing,China,2.85,17.08,4.84,0.85,2.85,3.75,0.42,0.27,1.83,1.36,0.93,1.88,9.73,3.63,12.74,1.71,1.3,1.32,1.07,0.64,1.21,0.47,0.54,4.98,0.74,2.04,3.56,0.43,56.94,1.42,0.36,2.73,1.19,21182.4,17054.11,45.92,0.02,10.91,27.51,7.12,4.98,355.89,21353.23,31.67,23.23,73.5,55.52,273.32,167.27,444.93,309.62,2763.72,1850.61,747.36,5.33,1,255.99,NULL,NULL
Ahmedabad,India,2.46,12.28,3.68,3.38,5.53,1.68,0.44,0.18,0.71,0.54,0.71,1.05,6.21,3.57,6.21,1.91,0.58,1.07,0.6,0.35,0.45,0.77,0.35,9.52,1.86,4.65,4.05,0.31,6.14,0.68,0.18,1.54,1.23,15352.2,21109.28,39.47,0.01,7.89,15.83,14.04,3.07,54.04,1403.96,27.4,27.5,50.59,35.56,461.38,393.19,459.7,292.04,1038.45,494.32,433.96,7.79,1,224.527,NULL,NULL
Pune,India,3.68,14.74,4.3,2.46,3.68,1.96,0.42,0.16,0.74,0.49,0.7,0.95,6.16,3.32,6.02,2.15,0.68,1.28,0.57,0.41,0.41,0.59,0.36,7.98,2.12,3.21,4.05,0.37,11.05,0.49,0.31,1.23,1.39,12281.76,21989.65,25.46,0.01,9.57,20.63,6.49,3.68,86.38,1762.79,29.56,30.88,42.84,34.39,219.79,134.73,485.56,312.84,1690.47,977.18,803.85,8,1,256.922,NULL,NULL
Foshan,China,2.85,21.35,4.98,0.85,1.71,3.31,0.43,0.28,1.76,1.63,0.78,1.71,14.24,2.89,11.75,1.85,1.44,1.82,1.31,0.74,1,0.49,0.51,11.39,0.78,1.78,3.7,0.28,7.12,1.71,0.37,4.27,1.19,21353.23,21353.23,49.82,0.02,16.66,64.06,12.81,6.05,555.18,24556.21,53.31,23.68,54.57,28.47,355.89,203.09,616.87,427.06,5456.94,2491.21,960.9,5.19,0,329.98,NULL,NULL
Tongshan,China,3.56,21.35,4.98,0.71,1.92,2.86,0.43,0.23,1.72,1.78,0.9,1.82,5.69,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.71,1.76,2.85,0.28,28.47,1.28,0.28,5.68,1.19,22563.24,22563.24,40.46,0.02,14.71,28.47,11.39,5.55,284.71,23251.29,64.06,44.45,99.65,74.02,384.36,234.89,703.08,380.8,2348.85,1459.14,727.43,4.46,0,278.908,NULL,NULL
Changchun,China,2.85,17.08,4.73,2.49,1.42,2.99,0.32,0.21,1.61,1.2,0.9,1.45,10.68,2.81,11.39,1.39,0.71,1.21,0.9,0.57,0.71,0.57,0.57,5.69,0.48,1.99,3.56,0.28,8.54,1.14,0.27,3.42,1.16,20997.34,22420.89,53.62,0.02,11.86,42.11,12.81,8.54,284.71,14947.26,28.47,42.66,85.41,118.63,320.3,220.65,640.6,462.65,1708.26,5478.2,1263.76,5.63,0,396.797,NULL,NULL
Nanjing,China,3.13,21.35,4.63,0.9,1.42,3.29,0.45,0.31,2.23,1.67,1.1,1.86,7.83,3.68,11.7,1.45,1.6,1.99,1.41,1.01,1.2,0.93,0.53,12.81,0.71,1.67,3.56,0.57,15.47,1.57,0.43,4.27,1.18,21353.23,20000.85,56.41,0.02,6.69,22.38,26.57,6.83,135.28,21356.36,54.95,33.78,72.96,81.84,506.84,298.98,1174.54,634.96,7231.63,3607.11,1146.18,5.24,1,414.18,NULL,NULL
Bogota,Colombia,3.15,18.88,4.62,1.05,2.1,1.14,0.57,0.49,0.87,0.99,0.82,1.52,4.02,3.69,5.36,1.95,0.76,0.95,0.92,0.78,0.71,0.55,0.58,8.39,0.74,1.34,1.68,0.56,26.22,1.05,1.47,5.24,0.52,12063.45,17420.33,67.58,0.06,19.69,17.95,8.44,3.36,208.08,4600.77,41.2,29.25,62.19,55.89,335.29,260.61,611.61,449.51,1444.09,1169.72,299.87,11.76,1,159.717,NULL,NULL
"Kuala Lumpur",Malaysia,3.42,22.79,4.1,3.65,4.56,2.74,0.6,0.38,1.7,0.83,1.37,1.74,10.02,3.72,9.37,2.61,1.53,2.82,1.43,1.03,0.95,0.9,0.64,15.95,2.49,3.63,4.1,0.68,22.79,1.14,1.14,3.76,0.48,35897.44,29522.45,53.07,0.09,25.49,40.72,8.55,4.44,261.57,9499.72,45.56,26.37,64.04,59.83,438.4,281.68,999.84,520.54,2272.27,1200.26,1290.67,3.67,1,433.293,NULL,NULL
Hefei,China,2.85,22.78,4.98,0.85,2.14,3.26,0.44,0.28,1.58,1.57,0.88,1.37,9.02,4.27,9.83,1.7,0.98,0.98,0.88,0.64,0.39,0.38,0.81,15.66,0.78,2.85,2.85,0.28,14.24,1.42,0.36,4.27,1.17,19773.09,21590.48,89.91,0.02,17.08,41.28,6.05,5.69,249.12,7829.52,74.45,28.47,85.37,56.94,275.22,142.35,569.42,332.16,3985.94,1708.26,965.48,4.86,0,310.957,NULL,NULL
Dongguan,China,3.2,28.47,4.98,0.71,2.21,3.76,0.45,0.33,2.26,1.82,0.84,2.02,7.83,4.84,9.96,2.28,1.59,1.19,1.09,0.71,0.9,0.71,0.54,9.96,0.93,1.64,2.85,0.43,32.03,1.28,0.36,4.7,1.19,22492.06,16608.06,42.81,0.03,12.74,67.22,16.61,4.98,427.06,8541.29,40.33,26.66,69.75,40.33,338.09,119.22,806.68,373.68,4840.06,3226.71,889.72,4.91,0,307.86,NULL,NULL
Jinan,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.25,1.91,1.11,0.59,1.09,14.59,2.96,6.41,1.19,0.85,1.36,0.81,0.38,0.36,0.71,0.57,11.39,0.78,1.42,2.85,0.28,5.69,1.42,0.21,5.69,1.17,16370.81,18506.13,67.77,0.02,8.12,72.6,4.75,5.34,565.86,9359.83,54.89,32.03,78.97,74.69,289.67,215.43,552.56,410.78,4270.65,1565.9,782.95,5.17,0,268.938,NULL,NULL
